"sep=\t"
Sampling Freq: 100Hz, 0.01 seconds between each sample
AO	Average AO	PW	Average PW	Pd/Pa
90.000	91.800	128.600	99.400	1.083
90.000	91.700	129.400	99.400	1.084
90.000	91.700	129.800	99.500	1.085
90.000	91.700	130.100	99.600	1.085
90.000	91.700	130.300	99.600	1.086
89.900	91.700	130.300	99.700	1.087
90.000	91.700	130.000	99.800	1.088
90.200	91.700	129.400	99.900	1.089
90.100	91.700	128.500	100.000	1.091
89.900	91.700	127.000	100.200	1.093
90.100	91.700	124.700	100.300	1.094
90.000	91.700	120.000	100.400	1.095
89.800	91.700	113.600	100.500	1.096
89.800	91.600	106.100	100.500	1.097
89.800	91.600	101.500	100.600	1.097
89.900	91.600	103.400	100.600	1.098
90.000	91.600	106.400	100.600	1.099
90.100	91.600	106.300	100.700	1.099
90.200	91.600	104.800	100.700	1.100
90.100	91.600	104.700	100.800	1.100
89.900	91.600	105.000	100.800	1.101
89.800	91.600	105.500	100.900	1.101
89.700	91.600	105.600	100.900	1.102
89.700	91.600	105.100	101.000	1.103
89.800	91.600	104.300	101.000	1.103
89.900	91.500	103.600	101.100	1.104
90.100	91.500	103.400	101.100	1.105
90.300	91.500	102.700	101.200	1.105
90.100	91.500	101.800	101.200	1.106
90.000	91.500	100.900	101.300	1.107
89.900	91.500	100.200	101.300	1.107
89.800	91.500	99.300	101.400	1.108
89.700	91.500	98.800	101.400	1.108
89.700	91.500	98.300	101.500	1.109
89.600	91.500	97.100	101.500	1.110
89.700	91.500	96.400	101.500	1.110
89.600	91.500	95.900	101.600	1.111
89.800	91.400	95.100	101.600	1.111
89.900	91.400	94.700	101.700	1.112
89.900	91.400	93.800	101.700	1.112
89.800	91.400	93.000	101.700	1.113
89.800	91.400	92.100	101.800	1.113
89.800	91.400	91.200	101.800	1.114
89.800	91.400	90.600	101.800	1.114
89.600	91.400	90.100	101.900	1.115
89.700	91.400	90.000	101.900	1.115
89.800	91.400	90.200	102.000	1.116
89.800	91.400	89.900	102.000	1.117
89.800	91.300	89.000	102.100	1.117
89.900	91.300	88.200	102.100	1.118
90.000	91.300	87.600	102.100	1.119
90.100	91.300	86.900	102.200	1.119
90.100	91.300	86.500	102.200	1.120
90.000	91.300	86.400	102.300	1.121
90.000	91.200	86.900	102.300	1.121
90.000	91.200	86.500	102.300	1.122
90.000	91.200	85.400	102.400	1.122
90.000	91.200	83.600	102.400	1.123
90.000	91.200	82.300	102.400	1.123
90.000	91.100	82.200	102.400	1.123
90.100	91.100	82.300	102.400	1.123
90.100	91.100	82.200	102.300	1.123
90.000	91.100	81.500	102.200	1.122
90.100	91.100	81.500	102.100	1.121
89.800	91.100	83.000	102.000	1.120
90.000	91.100	84.800	101.900	1.120
90.000	91.000	86.700	101.800	1.119
90.100	91.000	87.000	101.700	1.117
90.000	91.000	85.300	101.600	1.116
89.900	91.000	83.700	101.400	1.115
90.000	91.000	86.200	101.300	1.113
90.100	91.000	95.300	101.200	1.112
90.000	91.000	106.000	101.100	1.112
90.000	91.000	113.100	101.300	1.114
90.100	91.000	116.100	101.300	1.114
90.000	91.000	116.900	101.300	1.114
90.100	90.900	118.300	101.300	1.113
90.000	90.900	120.900	101.200	1.113
90.000	90.900	123.300	101.200	1.113
90.000	90.900	124.800	101.200	1.113
90.100	90.900	126.000	101.200	1.114
90.200	90.900	127.600	101.200	1.114
90.100	90.900	129.700	101.300	1.114
89.900	90.900	131.300	101.300	1.115
89.900	90.900	131.800	101.300	1.115
90.000	90.800	132.300	101.400	1.116
89.900	90.800	133.000	101.400	1.116
90.100	90.800	133.600	101.500	1.117
90.000	90.800	133.800	101.600	1.118
90.300	90.800	133.600	101.700	1.120
90.400	90.800	133.100	101.800	1.121
90.700	90.800	132.500	102.000	1.123
90.400	90.800	131.400	102.100	1.125
90.100	90.800	129.600	102.200	1.126
90.300	90.700	126.800	102.300	1.127
90.400	90.700	122.200	102.400	1.129
90.400	90.700	115.100	102.500	1.129
90.200	90.700	107.500	102.500	1.130
90.400	90.700	104.800	102.500	1.130
90.300	90.700	108.300	102.500	1.130
90.200	90.700	110.800	102.600	1.131
90.200	90.700	110.500	102.600	1.131
90.200	90.700	109.200	102.600	1.132
90.200	90.700	108.600	102.700	1.133
90.300	90.700	108.600	102.700	1.133
90.500	90.600	108.600	102.800	1.134
90.500	90.600	108.300	102.800	1.134
90.400	90.600	108.100	102.900	1.135
90.400	90.600	107.600	102.900	1.136
90.300	90.600	107.200	103.000	1.136
90.400	90.600	106.500	103.000	1.137
90.200	90.600	105.700	103.100	1.138
90.300	90.600	104.600	103.100	1.138
90.200	90.600	103.500	103.200	1.139
90.400	90.600	102.700	103.200	1.139
90.400	90.600	101.900	103.300	1.140
90.600	90.600	101.300	103.300	1.141
90.300	90.600	100.500	103.400	1.141
90.400	90.500	99.600	103.400	1.142
90.500	90.500	98.700	103.400	1.142
90.600	90.500	97.800	103.500	1.143
90.500	90.500	97.100	103.500	1.143
90.600	90.500	96.300	103.500	1.144
90.700	90.500	95.700	103.600	1.144
90.700	90.500	95.000	103.600	1.145
90.500	90.500	93.900	103.700	1.145
90.600	90.500	93.300	103.700	1.146
90.600	90.500	92.900	103.700	1.146
90.700	90.500	92.400	103.800	1.147
90.600	90.500	92.200	103.800	1.147
90.900	90.500	92.300	103.900	1.148
90.800	90.500	92.200	103.900	1.148
90.800	90.500	91.600	103.900	1.149
90.800	90.500	91.200	104.000	1.150
90.800	90.500	90.400	104.000	1.150
90.800	90.500	89.500	104.100	1.151
90.600	90.400	88.800	104.100	1.151
90.600	90.400	88.700	104.100	1.152
90.500	90.400	88.900	104.200	1.152
90.700	90.400	88.900	104.200	1.152
90.600	90.400	87.900	104.200	1.152
90.800	90.400	86.300	104.200	1.152
90.700	90.400	84.900	104.200	1.152
91.000	90.400	85.100	104.200	1.152
91.000	90.400	85.600	104.100	1.151
90.900	90.400	84.800	104.000	1.150
90.800	90.400	83.900	103.900	1.149
90.700	90.400	83.500	103.800	1.148
90.600	90.400	85.100	103.600	1.146
90.600	90.400	88.000	103.500	1.145
90.600	90.400	90.200	103.400	1.144
90.600	90.400	89.500	103.200	1.142
90.700	90.400	87.200	103.100	1.141
90.900	90.400	86.600	102.900	1.139
91.000	90.400	90.000	102.800	1.137
90.800	90.400	98.700	102.600	1.136
90.800	90.400	107.800	102.500	1.135
90.600	90.400	113.300	103.300	1.143
90.600	90.400	115.600	103.300	1.143
90.600	90.400	117.200	103.300	1.143
90.600	90.400	120.200	103.300	1.142
90.900	90.400	124.100	103.300	1.142
90.900	90.400	126.800	103.300	1.143
90.900	90.400	128.700	103.300	1.143
91.000	90.400	130.900	103.300	1.143
90.800	90.400	133.200	103.300	1.143
90.600	90.400	135.100	103.300	1.143
90.500	90.400	136.400	103.300	1.143
90.600	90.400	138.000	103.400	1.144
90.600	90.400	138.900	103.400	1.144
90.500	90.400	139.800	103.400	1.145
90.700	90.400	140.500	103.500	1.145
90.500	90.400	140.700	103.500	1.146
90.800	90.400	140.600	103.600	1.146
90.600	90.400	140.400	103.600	1.147
90.900	90.400	139.800	103.700	1.148
90.700	90.300	139.300	103.800	1.149
90.800	90.300	138.400	103.900	1.150
90.700	90.300	136.500	104.000	1.151
90.900	90.300	133.700	104.100	1.152
90.600	90.300	129.400	104.200	1.154
90.700	90.300	123.200	104.300	1.154
90.800	90.300	115.600	104.300	1.155
90.600	90.300	110.200	104.300	1.155
90.400	90.300	112.000	104.400	1.155
90.400	90.300	115.600	104.400	1.156
90.600	90.300	115.300	104.500	1.156
90.500	90.300	113.200	104.500	1.157
90.400	90.300	112.300	104.500	1.157
90.500	90.300	112.700	104.500	1.158
90.500	90.300	111.900	104.600	1.158
90.500	90.300	110.900	104.600	1.158
90.500	90.300	110.300	104.600	1.159
90.500	90.300	109.600	104.700	1.159
90.600	90.300	109.000	104.700	1.159
90.600	90.300	107.900	104.700	1.160
90.600	90.300	107.000	104.800	1.160
90.500	90.300	106.100	104.800	1.160
90.400	90.300	105.300	104.800	1.161
90.300	90.300	104.000	104.900	1.161
90.200	90.300	103.100	104.900	1.161
90.300	90.300	102.300	104.900	1.162
90.400	90.300	101.300	104.900	1.162
90.500	90.300	100.200	105.000	1.162
90.500	90.300	99.500	105.000	1.163
90.600	90.300	98.600	105.000	1.163
90.500	90.300	97.600	105.000	1.163
90.400	90.300	96.900	105.000	1.163
90.200	90.300	96.200	105.100	1.164
90.400	90.300	95.300	105.100	1.164
90.300	90.300	94.200	105.100	1.164
90.300	90.300	93.300	105.100	1.164
90.500	90.300	92.600	105.100	1.164
90.600	90.300	91.700	105.100	1.164
90.600	90.300	90.700	105.100	1.165
90.600	90.300	90.000	105.200	1.165
90.600	90.300	89.700	105.200	1.165
90.500	90.300	89.300	105.200	1.165
90.400	90.300	88.800	105.200	1.165
90.200	90.300	89.000	105.200	1.165
90.100	90.300	88.600	105.200	1.166
90.100	90.300	87.600	105.300	1.166
90.100	90.300	87.200	105.300	1.166
90.400	90.300	86.600	105.300	1.167
90.200	90.300	86.200	105.300	1.167
90.500	90.300	85.800	105.300	1.167
90.200	90.300	85.200	105.400	1.167
90.200	90.300	84.700	105.400	1.167
90.200	90.300	83.300	105.400	1.167
89.900	90.300	82.400	105.300	1.167
90.400	90.300	82.600	105.300	1.167
90.800	90.300	83.000	105.300	1.166
90.400	90.300	82.200	105.300	1.166
90.200	90.300	80.600	105.300	1.166
91.600	90.300	79.700	105.200	1.165
90.600	90.300	80.100	105.100	1.164
91.600	90.300	82.200	105.000	1.163
90.500	90.300	85.300	104.800	1.161
90.700	90.300	86.600	104.700	1.160
157.900	90.600	84.800	104.600	1.155
72.900	90.500	83.100	104.400	1.154
59.800	90.400	84.400	104.300	1.154
77.000	90.300	89.200	104.200	1.153
95.200	90.300	97.800	104.000	1.152
100.800	90.400	106.000	104.200	1.153
104.400	90.400	109.700	104.200	1.152
114.400	90.500	111.000	104.100	1.150
123.200	90.700	112.600	104.000	1.148
127.300	90.800	115.800	104.000	1.145
127.700	91.000	119.900	104.000	1.143
129.400	91.100	123.200	103.900	1.141
131.600	91.300	125.500	103.900	1.138
132.500	91.500	127.700	103.900	1.136
132.500	91.600	129.700	103.900	1.134
132.600	91.800	131.900	103.900	1.132
134.600	92.000	133.900	103.900	1.130
136.200	92.200	135.200	104.000	1.128
136.500	92.400	136.300	104.000	1.126
138.300	92.600	137.300	104.000	1.124
140.800	92.800	137.800	104.100	1.122
142.500	93.000	137.900	104.200	1.120
